Acceleration,Braking,gears ,Engine Temperature,Battery,RPM,Fuel Burnt,Distance
1,3,1,40,99,503,2,26.4
1,9,5,40,99,504,2,26.4
1,3,3,40,99,511,2,26.4
1,2,5,40,98,519,2,26.4
1,4,3,40,98,529,3,39.6
1,3,5,41,98,531,3,39.6
1,5,1,41,97,558,3,39.6
1,14,1,41,97,564,3,39.6
1,6,5,41,97,565,4,52.8
1,7,3,41,97,575,4,52.8
1,12,5,42,97,577,4,52.8
1,11,2,42,97,590,4,52.8
1,7,2,43,97,596,5,66
1,4,4,43,97,597,5,66
1,6,4,45,96,627,5,66
1,8,4,45,96,696,5,66
1,14,5,45,96,697,5,66
2,12,1,45,96,738,5,66
2,7,5,45,96,767,5,66
2,4,2,46,96,772,5,66
2,7,4,46,96,825,6,79.2
2,7,5,46,95,828,6,79.2
2,10,2,47,95,838,6,79.2
2,3,2,47,95,843,6,79.2
2,7,2,47,95,849,6,79.2
2,9,5,47,94,868,6,79.2
3,12,3,48,94,874,6,79.2
3,4,5,48,93,874,7,92.4
3,4,2,48,93,883,7,92.4
3,4,4,49,93,883,7,92.4
3,6,4,49,93,914,7,92.4
3,12,2,49,92,945,7,92.4
3,10,3,49,92,950,7,92.4
4,12,4,49,92,964,7,92.4
4,7,5,50,92,974,8,105.6
4,3,1,51,92,980,8,105.6
4,4,4,51,92,990,8,105.6
4,4,3,52,92,1006,8,105.6
4,8,5,52,91,1009,8,105.6
4,9,2,52,91,1034,8,105.6
4,10,1,53,89,1064,8,105.6
4,3,1,53,89,1093,8,105.6
4,8,5,53,89,1097,8,105.6
4,2,4,54,89,1136,9,118.8
4,6,1,54,89,1138,9,118.8
4,13,5,54,88,1154,9,118.8
4,12,1,54,88,1163,9,118.8
4,12,1,55,88,1199,9,118.8
4,5,2,56,88,1227,9,118.8
4,3,1,56,87,1229,9,118.8
4,8,2,57,87,1263,9,118.8
5,3,4,57,87,1270,9,118.8
5,7,4,57,86,1280,9,118.8
5,9,2,57,86,1329,9,118.8
5,14,2,57,84,1364,9,118.8
